What are the TWO major challenges faced by embryologists in the workplace?,,"What are the TWO major challenges faced by the embryology profession, in general? ",,Provide TWO suggestions to improve embryologists' working conditions,,What is your career goal?
1,2,1,2,1,2,Open-Ended Response
Equality with clinical members,Poor pay,Shortage of trained staff,Equality,Improve number,Improve pay,Continue
Bullying by colleagues and managers,"Poorly designed protocols, technical ignorance by colleagues and managers. ",Stress of delivering high quality work without sufficient staff.,Presence of narcissistic individuals destroying mental health of colleagues.,Screening for sociopathic personality traits needs to be introduced.  A 45 minute interview is no way to select for entry into the profession.,Clinics must be staffed so that there is a good margin of available workers so that staff are not pressured to work at 110% and then burn out.,To survive until retirement without suffering mental illness or making a catestrophic lab error.
Working hours and too many responsibilities,Salary,Access to training,Certification,Add reading and projects into basic workload not in leisure time,Understand for how many hours a brain can be functional performing lab procedures per day,Get my ESHRE certification  Publish paper through research   Presentations and leading workshops   Acquire lab directing skills
burnout/stress,poor management,not enough highly trained staff,politics,better pay,better CPD opportunities,FRCPath
Recognizion,Trust,Handson training,Trust,Good laboratory training,Troubleshooting,Be confident in the work i do  Academically strong
Stress created by no embryos/ less embryos/ poor quality embryos,No respect,Gossips of others which disturbs other Embryologist work,No respect,Reporting Manager should understand the situation,Stress free atmosphere,To be Good Embryologist by providing  maximum effort and good professor by teaching others
General workplace politics,Internal Pressure,Undervalued,Underpaid,Flexible hours to reduce stress,Shorter rotations in the Lab,"I would like to work as an embryologist internationally, hopefully one day obtain my PhD. I would like to influence up and coming embryologists and have an active role in research within the field of ART"
Burnout due to working continously through weekends without breaks,Difficulty in taking time off due to understaffed clinics,Lack of qualified embryologists - staff shortages,Underpayment for specialized skills,"Allow for more clinics to be accredited training units, thus increasing accessibility to science graduates and allowing more embryologists into the field","If an embryologist has worked on a weekend, allowing one day off during the week",To be stable and happy while doing a job that I love.
fertilization outcomes are laid on the embryologists,pregnancies outcomes are laid on the embryologists,overworking with minimum breaks (leave),overall outcome of the patient pregnancy rates are laid on the embryologists,improve trust and provide fair team work to embryologist from the clinicians,allow reasonable breaks to the embryologist for resting (leave),"to run an independant practice, be a partner and not an employee"
lack of leadership,burnout,managment,AI,train managers to lead and not manage,recognition,have a happy team
Recognition of our contribution in the ART field,Workload,Inferior treatment by Clinicians,Workload,Awareness by Clinic owners,Educate us how to successfully get what we are asking for,This is more of an aspiration  - I want my unit to be the best in the country
Time managment,Long hours,Lack of respect,Having to make do with bare min equipment,Bigger budget for new equipment,avoidance of working both days on weekends,Done it
administration work,not enough equipment,administration work,lack of budget,a good system for administration work,financial empowerment,to become scientific director with research project
